instance_id,compact,dp_flow,arc_flow,set_cover,set_partition
sage_original_BPP_0001_8323c49c2f,1,1,0,1,1
sage_original_BPP_0002_859c1cb186,1,1,0,1,1
sage_original_BPP_0003_e555eea40b,1,1,0,1,1
sage_original_BPP_0004_914a2169fb,1,1,0,1,1
sage_original_BPP_0005_7b48f8509c,1,1,0,1,1
sage_original_BPP_0006_81f1f3d4bc,1,1,0,1,1
sage_original_BPP_0007_bc8d0a8087,1,1,0,1,1
sage_original_BPP_0008_828834add1,1,1,0,1,1
sage_original_BPP_0009_b5fb432672,1,1,0,1,1
sage_original_BPP_0010_faec88a173,1,1,0,1,1
sage_original_BPP_0011_1959774821,1,1,0,1,1
sage_original_BPP_0012_30fae92631,1,1,0,1,1
sage_original_BPP_0013_15a86b663e,1,1,1,1,1
sage_original_BPP_0014_a1418a581f,1,1,0,1,1
sage_original_BPP_0015_bae75392e2,1,1,0,1,1
sage_original_BPP_0016_e56c41a9d7,1,1,0,1,1
sage_original_BPP_0017_a2855cb59f,1,1,0,1,1
sage_original_BPP_0018_3c9306fec6,1,1,0,1,1
sage_original_BPP_0019_8aee98d164,1,1,0,1,1
sage_original_BPP_0020_17ae96ad82,1,1,0,1,1
sage_original_BPP_0021_af0fc9b472,1,1,0,1,1
sage_original_BPP_0022_b1cc40e86f,1,1,0,1,1
sage_original_BPP_0023_0c59862486,1,1,0,1,1
sage_original_BPP_0024_13e00c175f,1,1,0,1,1
sage_original_BPP_0025_c34723436d,1,1,0,1,1
sage_original_BPP_0026_93d84a5db5,1,1,0,1,1
sage_original_BPP_0027_32089080a7,1,1,0,1,1
sage_original_BPP_0028_6261c62831,1,1,0,1,1
sage_original_BPP_0029_1d3f9b2c0a,1,1,0,1,1
sage_original_BPP_0030_4f91a9ce0e,1,1,0,1,1
sage_original_BPP_0031_9f920584df,1,1,0,1,1
sage_original_BPP_0032_aa41193dbb,1,1,0,1,1
sage_original_BPP_0033_46bce2d1e2,1,1,0,1,1
sage_original_BPP_0034_cba2e0a3d8,1,1,0,1,1
sage_original_BPP_0035_7abefd6a42,1,1,0,1,1
sage_original_BPP_0036_bdfcd095b4,1,1,0,1,1
sage_original_BPP_0037_53ab454928,1,1,0,1,1
