instance_id,compact,dp_flow,arc_flow,set_cover,set_partition
sage_original_BPP_0001_8323c49c2f,0.070933,0.038592,0.005764,0.018946,0.036787
sage_original_BPP_0002_859c1cb186,0.026073,0.055371,0.005530,0.018360,0.019077
sage_original_BPP_0003_e555eea40b,0.045951,0.063467,0.006701,0.018046,0.049500
sage_original_BPP_0004_914a2169fb,0.021636,0.038039,0.006373,0.026497,0.025813
sage_original_BPP_0005_7b48f8509c,0.021038,0.027620,0.021915,0.014869,0.015834
sage_original_BPP_0006_81f1f3d4bc,0.042633,0.030848,0.005192,0.014939,0.018120
sage_original_BPP_0007_bc8d0a8087,0.041802,0.051554,0.004666,0.014755,0.035573
sage_original_BPP_0008_828834add1,0.041492,0.058232,0.026624,0.018368,0.022850
sage_original_BPP_0009_b5fb432672,0.021650,0.054393,0.005165,0.014942,0.018013
sage_original_BPP_0010_faec88a173,0.021463,0.027634,0.004644,0.014530,0.015969
sage_original_BPP_0011_1959774821,0.022360,0.065215,0.006768,0.017906,0.042645
sage_original_BPP_0012_30fae92631,0.046283,0.067379,0.006010,0.017617,0.049443
sage_original_BPP_0013_15a86b663e,0.017017,0.010753,0.002817,0.002703,0.022077
sage_original_BPP_0014_a1418a581f,0.024044,0.056247,0.007767,0.021096,0.026165
sage_original_BPP_0015_bae75392e2,0.022502,0.055615,0.029928,0.040591,0.040713
sage_original_BPP_0016_e56c41a9d7,0.041703,0.036649,0.005427,0.018232,0.018032
sage_original_BPP_0017_a2855cb59f,0.021383,0.029500,0.026622,0.014863,0.020798
sage_original_BPP_0018_3c9306fec6,0.020285,0.030702,0.005335,0.016939,0.041625
sage_original_BPP_0019_8aee98d164,0.020797,0.028339,0.006094,0.017042,0.017592
sage_original_BPP_0020_17ae96ad82,0.027710,0.054708,0.030035,0.019205,0.044707
sage_original_BPP_0021_af0fc9b472,0.173011,0.060462,0.026444,0.017441,0.020889
sage_original_BPP_0022_b1cc40e86f,0.020859,0.033747,0.027083,0.039522,0.037409
sage_original_BPP_0023_0c59862486,0.023045,0.059015,0.025617,0.053273,0.039345
sage_original_BPP_0024_13e00c175f,0.023507,0.055741,0.006055,0.023424,0.021748
sage_original_BPP_0025_c34723436d,0.023009,0.033914,0.005761,0.017497,0.022004
sage_original_BPP_0026_93d84a5db5,0.023448,0.036386,0.027900,0.015656,0.036169
sage_original_BPP_0027_32089080a7,0.021809,0.030119,0.005116,0.014691,0.020524
sage_original_BPP_0028_6261c62831,0.021727,0.033230,0.005616,0.016886,0.023717
sage_original_BPP_0029_1d3f9b2c0a,0.021809,0.032501,0.005512,0.014546,0.016808
sage_original_BPP_0030_4f91a9ce0e,0.019833,0.030992,0.022213,0.015672,0.038921
sage_original_BPP_0031_9f920584df,0.045006,0.062168,0.026690,0.017870,0.021869
sage_original_BPP_0032_aa41193dbb,0.024229,0.053687,0.005849,0.018293,0.019355
sage_original_BPP_0033_46bce2d1e2,0.041457,0.032393,0.005458,0.017723,0.037849
sage_original_BPP_0034_cba2e0a3d8,0.020612,0.036465,0.028709,0.036100,0.017324
sage_original_BPP_0035_7abefd6a42,0.021815,0.029809,0.005053,0.032970,0.021013
sage_original_BPP_0036_bdfcd095b4,0.020373,0.039182,0.005826,0.018189,0.019304
sage_original_BPP_0037_53ab454928,0.022040,0.035693,0.005867,0.018461,0.019460
sage_original_BPP_0038_313ca25182,0.022265,0.037520,0.005968,0.023572,0.044983
sage_original_BPP_0039_2950464c50,0.023424,0.039184,0.023683,0.025639,0.025420
sage_original_BPP_0040_2b293dd1ae,0.020576,0.032975,0.005686,0.016848,0.015753
sage_original_BPP_0041_a6a84147b3,0.021812,0.035222,0.005914,0.017665,0.038153
sage_original_BPP_0042_9fc03b9264,0.020802,0.028044,0.004835,0.014426,0.036666
sage_original_BPP_0043_0efcaa8f13,0.021998,0.030504,0.025209,0.014910,0.037488
sage_original_BPP_0044_2a25b988a9,0.021057,0.027705,0.004654,0.014508,0.033722
sage_original_BPP_0045_f57b8eb025,0.039009,0.059707,0.008626,0.022918,0.043887
sage_original_BPP_0046_254afa49c4,0.020668,0.029399,0.005089,0.014903,0.042182
sage_original_BPP_0047_2e929ccc97,0.040914,0.037827,0.029973,0.022964,0.026164
sage_original_BPP_0048_ab1fda5f01,0.022404,0.050998,0.005588,0.016753,0.033536
sage_original_BPP_0049_3fe0de171c,0.022706,0.037942,0.024331,0.017953,0.024847
sage_original_BPP_0050_5fcb4c04cb,0.021474,0.029796,0.005254,0.015185,0.021450
sage_original_BPP_0051_ed359bbe80,0.020558,0.037113,0.006878,0.022852,0.021363
sage_original_BPP_0052_de145a20d4,0.021513,0.029015,0.005046,0.014963,0.039488
sage_original_BPP_0053_ff81be9e80,0.020389,0.031556,0.005877,0.017000,0.017685
sage_original_BPP_0054_5a7357f2e9,0.020512,0.050281,0.025185,0.036426,0.018148
sage_original_BPP_0055_a95c18ef81,0.042049,0.030989,0.005180,0.016790,0.016890
sage_original_BPP_0056_6d3b976d34,0.012205,0.019331,0.004325,0.002654,0.003866
sage_original_BPP_0057_ea88b13cdb,0.020211,0.034950,0.005551,0.016758,0.021238
sage_original_BPP_0058_38b10d4b13,0.021154,0.033065,0.005469,0.017204,0.018121
sage_original_BPP_0059_b00164e1eb,0.040274,0.050453,0.027072,0.017561,0.016973
sage_original_BPP_0060_c0049a685b,0.041842,0.051692,0.027435,0.017052,0.034679
sage_original_BPP_0061_90b3fc0e08,0.042652,0.057132,0.029212,0.032542,0.015617
sage_original_BPP_0062_f50460782c,0.019359,0.029466,0.004979,0.014785,0.020874
sage_original_BPP_0063_27e2398f7a,0.042303,0.037442,0.022874,0.017291,0.045758
sage_original_BPP_0064_322da5d399,0.023239,0.060755,0.024353,0.039976,0.047734
sage_original_BPP_0065_c6c8a8a91e,0.044605,0.057184,0.026051,0.015022,0.042822
sage_original_BPP_0066_6fae8468e1,0.044454,0.058216,0.028128,0.040488,0.024518
sage_original_BPP_0067_82910efa5a,0.038073,0.030491,0.025268,0.015145,0.020915
sage_original_BPP_0068_a8658f1b8b,0.025035,0.071659,0.007742,0.019044,0.021068
sage_original_BPP_0069_3e75043c13,0.021811,0.035362,0.022879,0.018313,0.018692
sage_original_BPP_0070_ef23074c42,0.022750,0.060488,0.005942,0.017999,0.026574
sage_original_BPP_0071_29b9dc8e2f,0.041568,0.063613,0.024864,0.017413,0.024229
sage_original_BPP_0072_44ea41c1ba,0.039932,0.030323,0.022443,0.014335,0.030996
sage_original_BPP_0073_69d8cfd48d,0.376780,0.049849,0.007812,0.018888,0.019228
sage_original_BPP_0074_83cd0e6bed,0.021884,0.032466,0.005329,0.017872,0.018243
sage_original_BPP_0075_08db921fc6,0.031043,0.089220,0.024784,0.034570,0.034281
sage_original_BPP_0076_f7b385eb95,0.020020,0.033666,0.005208,0.014951,0.015256
sage_original_BPP_0077_539a25b2f8,0.019711,0.030904,0.005230,0.014742,0.016883
sage_original_BPP_0078_b8044ca20e,0.020225,0.036369,0.022102,0.041242,0.023024
sage_original_BPP_0079_aac138d3f7,0.019670,0.031120,0.005808,0.014972,0.015442
sage_original_BPP_0080_ec40d4578c,0.027678,0.066373,0.046345,0.021724,0.030796
sage_original_BPP_0081_2d272b5613,0.023524,0.045691,0.036687,0.018620,0.036074
sage_original_BPP_0082_23737f3643,0.020365,0.026986,0.004675,0.014481,0.016518
sage_original_BPP_0083_e77cccb015,0.047153,0.031163,0.022684,0.016417,0.016164
sage_original_BPP_0084_b1f88e2afa,0.021621,0.035419,0.005874,0.018337,0.018344
sage_original_BPP_0085_0aadd318fb,0.021052,0.029066,0.004916,0.014582,0.020399
sage_original_BPP_0086_6a7fbf730b,0.020324,0.037276,0.005939,0.017715,0.045202
sage_original_BPP_0087_d986c08761,0.020989,0.028780,0.005073,0.016012,0.039857
sage_original_BPP_0088_579ac15027,0.046020,0.031841,0.005209,0.018045,0.040260
sage_original_BPP_0089_3d994d2b8d,0.020216,0.032472,0.005854,0.039685,0.042959
sage_original_BPP_0090_228477a59a,0.045258,0.048700,0.029749,0.039436,0.035625
sage_original_BPP_0091_5becfd3c69,0.021485,0.058781,0.006637,0.023295,0.048340
sage_original_BPP_0092_e75dea5312,0.021849,0.050156,0.028165,0.036633,0.016546
sage_original_BPP_0093_8af5e2c4b7,0.024813,0.049445,0.006645,0.021544,0.022891
sage_original_BPP_0094_9e7510e494,0.159086,0.032770,0.005972,0.017723,0.018057
sage_original_BPP_0095_b5bf2b8627,0.024448,0.032868,0.005280,0.017921,0.021235
sage_original_BPP_0096_3780530ef4,0.023481,0.033151,0.005618,0.015447,0.015938
sage_original_BPP_0097_8e99ef53c7,4.192205,0.087164,0.034299,0.021410,0.041942
sage_original_BPP_0098_4cbff31e71,0.023885,0.048890,0.005226,0.016966,0.017379
sage_original_BPP_0099_aa1b82f015,0.023119,0.040734,0.006124,0.017738,0.024458
sage_original_BPP_0100_2c1884599a,0.021358,0.049307,0.028623,0.017826,0.017014
sage_original_BPP_0101_b40f2d0aa7,0.030256,0.063754,0.026816,0.038330,0.047722
sage_original_BPP_0102_32531213af,0.018956,0.031768,0.023510,0.039716,0.017660
sage_original_BPP_0103_0b2f471d17,0.020777,0.033937,0.024402,0.016710,0.035186
sage_original_BPP_0104_12db513ea8,0.023470,0.033251,0.005478,0.020052,0.037014
sage_original_BPP_0105_da84db6de3,0.039181,0.032805,0.005545,0.014959,0.015300
sage_original_BPP_0106_ab6f07b5bb,0.022423,0.037766,0.006081,0.017277,0.021323
sage_original_BPP_0107_5247f0d208,0.037112,0.031289,0.022950,0.036401,0.017540
sage_original_BPP_0108_210566ae89,0.020287,0.029029,0.005033,0.014684,0.019915
sage_original_BPP_0109_ebfc409e73,0.022966,0.032377,0.005236,0.016224,0.016968
sage_original_BPP_0110_3dad17cb40,0.021729,0.036895,0.005859,0.033988,0.023367
